Log started on 2021_03_09_103942
rodRBStateFileLogger.,
Simulation time (sec),CoM_X,CoM_Y,Theta,dCoM_X_dt,dCoM_Y_dt,dTheta_dt
1.01,6.94437e-08,0.0172205,-0.000652339,6.91737e-10,-2.58831e-08,-9.7659e-06
1.015,6.94472e-08,0.0172205,-0.0006524,6.92933e-10,-2.63177e-08,-9.8339e-06
1.02,6.94506e-08,0.0172205,-0.000652461,6.95629e-10,-2.67595e-08,-9.91668e-06
1.025,6.94541e-08,0.0172205,-0.000652523,7.01415e-10,-2.72085e-08,-1.00289e-05
1.03,6.94577e-08,0.0172205,-0.000652587,7.1049e-10,-2.76649e-08,-1.01724e-05
1.035,6.94598e-08,0.0172205,-0.000652152,-2.1616e-09,2.27373e-06,0.000387962
1.04,6.92249e-08,0.0172206,-0.000635715,-1.12571e-07,1.02995e-05,0.00230268
1.045,6.84081e-08,0.0172206,-0.000618715,-1.96291e-07,5.40817e-06,0.00248924
1.05,6.74174e-08,0.0172206,-0.000608514,-1.89031e-07,2.79181e-06,0.0020973
1.055,6.65974e-08,0.0172206,-0.000602507,-1.34638e-07,1.437e-06,0.00142613
1.06,6.60896e-08,0.0172206,-0.000599206,-6.88653e-08,7.3552e-07,0.00073138
1.065,6.58896e-08,0.0172206,-0.000597654,-1.39758e-08,3.72274e-07,0.000179283
1.07,6.59149e-08,0.0172206,-0.000597165,2.06497e-08,1.84129e-07,-0.000164096
1.075,6.60614e-08,0.0172206,-0.00059724,3.50484e-08,8.66207e-08,-0.000309705
1.08,6.62398e-08,0.0172206,-0.000597536,3.4432e-08,3.60219e-08,-0.000311041
1.085,6.63918e-08,0.0172206,-0.000597845,2.5546e-08,9.69699e-09,-0.000233064
1.09,6.64913e-08,0.0172206,-0.000598072,1.42679e-08,-4.07037e-09,-0.000131358
1.095,6.65371e-08,0.0172206,-0.000598194,4.49468e-09,-1.1344e-08,-4.25736e-05
1.1,6.6542e-08,0.0172206,-0.000598232,-1.97215e-09,-1.52615e-08,1.62964e-05
1.105,6.65233e-08,0.0172206,-0.00059822,-4.9594e-09,-1.74463e-08,4.34306e-05
1.11,6.6497e-08,0.0172206,-0.000598194,-5.24811e-09,-1.87379e-08,4.58894e-05
1.115,6.64735e-08,0.0172206,-0.000598178,-3.95556e-09,-1.95703e-08,3.38812e-05
1.12,6.64583e-08,0.0172206,-0.000598182,-2.10483e-09,-2.0168e-08,1.67782e-05
1.125,6.64522e-08,0.0172206,-0.000598208,-4.08036e-10,-2.06469e-08,1.11014e-06
1.13,6.64534e-08,0.0172206,-0.000598252,7.76157e-10,-2.10673e-08,-9.83501e-06
1.135,6.6459e-08,0.0172206,-0.000598307,1.37706e-09,-2.146e-08,-1.54123e-05
1.14,6.64663e-08,0.0172206,-0.000598368,1.50264e-09,-2.18414e-08,-1.6617e-05
1.145,6.64735e-08,0.0172206,-0.000598428,1.33332e-09,-2.22199e-08,-1.51096e-05
1.15,6.64795e-08,0.0172206,-0.000598487,1.04444e-09,-2.25999e-08,-1.25028e-05
1.155,6.6484e-08,0.0172206,-0.000598543,7.64176e-10,-2.29838e-08,-9.97548e-06
1.16,6.64872e-08,0.0172206,-0.000598597,5.6197e-10,-2.33728e-08,-8.16643e-06
1.165,6.64898e-08,0.0172206,-0.00059865,4.5694e-10,-2.37677e-08,-7.25157e-06
1.17,6.6492e-08,0.0172206,-0.000598703,4.35259e-10,-2.41688e-08,-7.10381e-06
1.175,6.64942e-08,0.0172206,-0.000598757,4.68189e-10,-2.45763e-08,-7.45899e-06
1.18,6.64967e-08,0.0172206,-0.000598812,5.25926e-10,-2.49906e-08,-8.04312e-06
1.185,6.64995e-08,0.0172206,-0.000598869,5.85602e-10,-2.54116e-08,-8.64595e-06
1.19,6.65025e-08,0.0172206,-0.000598927,6.33994e-10,-2.58396e-08,-9.14592e-06
1.195,6.65058e-08,0.0172206,-0.000598986,6.66613e-10,-2.62746e-08,-9.50178e-06
1.2,6.65092e-08,0.0172206,-0.000599047,6.8498e-10,-2.67168e-08,-9.72752e-06
1.205,6.65126e-08,0.0172206,-0.000599109,6.9359e-10,-2.71664e-08,-9.86449e-06
1.21,6.65161e-08,0.0172206,-0.000599171,6.97466e-10,-2.76233e-08,-9.95889e-06
1.215,6.65196e-08,0.0172206,-0.000599235,7.00658e-10,-2.80877e-08,-1.0048e-05
1.22,6.65231e-08,0.0172206,-0.0005993,7.0565e-10,-2.85598e-08,-1.01546e-05
1.225,6.65266e-08,0.0172206,-0.000599366,7.13424e-10,-2.90397e-08,-1.02878e-05
1.23,6.65302e-08,0.0172206,-0.000599432,7.23879e-10,-2.95275e-08,-1.04467e-05
1.235,6.65339e-08,0.0172206,-0.0005995,7.36329e-10,-3.00233e-08,-1.06249e-05
1.24,6.64156e-08,0.0172207,-0.000588707,-7.07832e-08,9.81582e-06,0.00191691
1.245,6.58029e-08,0.0172207,-0.000572662,-1.58354e-07,5.30159e-06,0.00210437
1.25,6.49771e-08,0.0172207,-0.000563077,-1.61505e-07,2.74059e-06,0.00182498
1.255,6.42651e-08,0.0172207,-0.000557442,-1.18929e-07,1.41233e-06,0.00127151
1.26,6.3809e-08,0.0172207,-0.000554321,-6.35226e-08,7.23536e-07,0.000677224
1.265,6.36158e-08,0.0172207,-0.000552814,-1.60493e-08,3.66306e-07,0.000196263
1.27,6.36192e-08,0.0172207,-0.000552286,1.44824e-08,1.80983e-07,-0.000107891
1.275,6.37309e-08,0.0172207,-0.000552282,2.76878e-08,8.47809e-08,-0.000241807
1.28,6.3874e-08,0.0172207,-0.000552494,2.7924e-08,3.47742e-08,-0.000250781
1.285,6.3998e-08,0.0172207,-0.000552737,2.0973e-08,8.70861e-09,-0.000190665
1.29,6.40801e-08,0.0172207,-0.000552922,1.18779e-08,-4.95247e-09,-0.0001092
1.295,6.41188e-08,0.0172207,-0.000553028,3.96051e-09,-1.21889e-08,-3.76423e-05
1.3,6.41244e-08,0.0172207,-0.000553069,-1.26395e-09,-1.61e-08,9.69195e-06
1.305,6.41111e-08,0.0172207,-0.000553072,-3.66298e-09,-1.82913e-08,3.13654e-05
1.31,6.40915e-08,0.0172207,-0.000553064,-3.89529e-09,-1.95948e-08,3.33008e-05
1.315,6.40742e-08,0.0172207,-0.000553063,-2.88184e-09,-2.04414e-08,2.38815e-05
1.32,6.40633e-08,0.0172207,-0.000553079,-1.4485e-09,-2.10541e-08,1.06485e-05
1.325,6.40595e-08,0.0172207,-0.000553112,-1.55245e-10,-2.15485e-08,-1.28053e-06
1.33,6.40611e-08,0.0172207,-0.000553159,7.28352e-10,-2.19845e-08,-9.44261e-06
1.335,6.4066e-08,0.0172207,-0.000553214,1.16124e-09,-2.23932e-08,-1.34663e-05
1.34,6.40721e-08,0.0172207,-0.000553273,1.23789e-09,-2.27907e-08,-1.42206e-05
1.345,6.4078e-08,0.0172207,-0.000553333,1.10234e-09,-2.31857e-08,-1.30278e-05
1.35,6.4083e-08,0.0172207,-0.000553391,8.88347e-10,-2.35824e-08,-1.11157e-05
1.355,6.40869e-08,0.0172207,-0.000553447,6.8942e-10,-2.39832e-08,-9.34203e-06
1.36,6.409e-08,0.0172207,-0.000553502,5.52798e-10,-2.43894e-08,-8.14039e-06
1.365,6.40926e-08,0.0172207,-0.000553557,4.88198e-10,-2.48018e-08,-7.6e-06
1.37,6.4095e-08,0.0172207,-0.000553612,4.82309e-10,-2.52207e-08,-7.59886e-06
